"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Finland,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.726,128.215,113.139,89.177,103.621,134.21,132.046,127.027,134.164,135.369,126.023,129.521,140.262,171.57,197.369,204.973,217.056,256.39,285.667,253.206,249.633,275.079,257.606,270.272,273.549,233.234,238.712,253.757,273.993,267.044,269.784,294.419,280.474,295.135,298.607,314.724,335.534,346.309,356.83,368.667,381.547
France,695.475,612.552,581.254,555.956,526.671,551.596,766.302,927.257,1012.843,1017.702,1260.874,1263.244,1392.563,1315.795,1388.477,1596.25,1599.248,1451.058,1498.974,1488.392,1361.56,1370.386,1491.373,1834.637,2108.835,2193.358,2317.985,2656.13,2926.483,2697.144,2648.391,2869.903,2684.706,2816.119,2861.973,2442.731,2469.726,2587.955,2782.838,2723.094,2645.806,2968.405,2796.987,3061.093,3160.902,3361.557,3558.562,3661.084,3772.836,3890.001,4009.171
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.83,16.875,15.364,19.455,20.485,20.059,20.9,21.455,22.726,23.635,24.659,25.761,26.903
"Gambia, The",0.606,0.58,0.547,0.55,0.396,0.482,0.376,0.504,0.585,0.614,0.721,0.76,0.82,0.878,0.87,0.909,0.949,0.983,1.009,1.036,1.01,1.002,0.887,0.843,0.962,1.028,1.054,1.28,1.562,1.45,1.543,1.41,1.415,1.376,1.229,1.355,1.47,1.498,1.662,1.806,1.809,2.045,2.135,2.245,2.355,2.497,2.672,2.866,3.079,3.308,3.569
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.85,1.961,3.148,3.608,3.73,2.898,3.144,3.311,3.493,4.103,5.269,6.59,7.979,10.458,13.158,11.069,12.425,15.475,16.894,17.516,17.966,15.223,15.445,16.472,17.905,17.645,16.013,18.849,24.985,30.778,33.775,37.403,40.177,42.408,44.723,47.202,49.802
Germany,856.833,720.895,696.088,694.447,654.289,663.459,947.583,1179.165,1271.263,1262,1604.497,1882.489,2146.14,2080.092,2220.165,2595.269,2507.448,2221.504,2250.847,2216.072,1967.85,1966.395,2100.865,2534.081,2851.023,2894.992,3046.47,3484.467,3807.781,3474.768,3469.925,3822.903,3598.761,3807.079,3965.893,3425.446,3535.812,3764.023,4057.272,3960.332,3938.244,4358.147,4204.327,4563.523,4684.182,5013.574,5328.184,5498.618,5674.354,5848.295,6013.749
Ghana,38.684,61.487,70.954,49.337,17.998,15.97,15.086,12.692,13.566,13.723,15.882,17.795,17.666,14.532,13.433,15.692,16.629,17.024,18.528,19.165,12.349,13.113,15.229,18.79,21.754,26.415,30.963,36.544,41.323,37.127,45.447,53.625,55.8,62.846,54.678,49.437,56.144,60.385,67.259,68.353,70.008,79.514,73.919,80.547,82.825,111.963,113.494,117.237,121.933,128.129,135.908
Greece,56.217,51.873,54.114,48.913,47.657,47.269,55.636,64.769,75.384,78.148,96.601,104.164,114.846,107.505,115.055,135.036,142.513,138.93,139.821,143.693,127.438,132.051,150.148,196.881,234.873,242.45,269.088,314.264,351.083,326.474,296.66,283.178,238.992,236.56,233.972,194.587,193.044,200.31,213.396,207.329,191.21,218.449,219.053,243.569,257.067,282.019,304.838,316.711,327.921,339.478,351.607
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.167,1.213,1.043,1.122,1.224,1.336,1.395,1.458,1.524,1.606,1.687,1.768,1.852
Guatemala,7.718,8.431,8.539,8.864,9.276,10.951,5.921,6.857,7.426,8.561,7.535,9.174,10.138,11.045,12.482,14.05,14.992,16.982,18.461,17.422,18.124,19.735,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.997,41.493,47.419,49.902,52.989,57.835,62.18,66.034,71.624,73.331,77.156,77.718,86.443,95.642,104.354,113.19,120.85,129.466,139.473,150.202,161.821,174.485
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.012,4.506,4.178,6.317,6.966,6.753,6.858,6.775,7.387,8.376,8.777,8.79,8.604,10.325,11.857,13.443,14.089,16.32,19.589,22.089,24.229,27.515,30.922,34.486,38.499,43.225,47.778
Guinea-Bissau,0.289,0.37,0.421,0.475,0.33,0.485,0.474,0.401,0.374,0.449,0.548,0.772,0.846,0.653,0.361,0.778,0.741,0.704,0.592,0.58,0.392,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.555,1.487,1.523,1.722,1.721,2.005,2.186,2.474,2.764,2.976,3.192,3.429,3.683
Guyana,0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.471,8.041,14.718,16.919,24.659,25.064,27.486,31.423,34.836,38.608,40.275
Haiti,2.664,2.932,3.05,3.273,3.627,4.028,4.475,2.205,1.45,1.34,1.706,1.53,0.918,1.107,3.054,4.846,5,5.748,6.408,7.148,6.81,6.285,6.064,4.866,6.037,7.186,7.507,9.522,10.488,11.598,11.852,13.009,13.709,14.904,15.137,14.831,13.996,15.036,16.454,14.787,14.508,21.017,19.826,19.603,25.285,30.908,31.097,31.965,32.556,32.004,32.37
Honduras,3.968,4.044,4.267,4.477,4.915,5.278,5.678,6.191,6.877,7.877,4.923,4.649,4.944,4.961,4.642,5.415,5.217,5.736,6.366,6.417,7.104,7.652,7.857,8.229,8.866,9.755,10.917,12.361,13.884,14.586,15.837,17.71,18.523,18.494,19.753,20.978,21.712,23.138,24.067,24.883,23.35,28.146,31.425,34.356,37.1,39.445,40.821,43.091,45.607,48.284,51.079
Hong Kong SAR,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.86,341.271,361.731,363.075,344.941,368.954,358.68,381.043,406.863,428.233,446.646,466.327,487.671,511.827,536.95
Hungary,23.117,23.706,24.142,21.91,21.243,21.511,24.778,27.233,29.8,30.423,34.478,34.867,38.857,40.256,43.308,46.578,46.834,47.399,48.784,49.16,47.276,53.8,67.636,85.19,104.015,113.098,115.604,140.123,158.228,130.807,131.899,141.713,128.47,135.646,141.129,125.244,128.984,143.335,161.185,164.927,158.468,183.283,178.321,214.098,223.06,247.759,269.916,284.122,298.583,314.311,331.126
Iceland,3.434,3.543,3.251,2.793,2.892,3.009,4.014,5.561,6.145,5.7,6.504,6.949,7.105,6.225,6.393,7.124,7.426,7.717,8.638,9.108,9.14,8.323,9.416,11.565,13.964,17.146,17.672,21.96,18.248,13.213,13.923,15.394,14.944,16.244,18.052,17.7,21.084,25.06,26.678,24.986,22.035,26.235,29.166,31.678,33.255,38.386,43.404,46.655,50.249,54.066,58.161
India,186.17,193.153,200.035,218.218,211.843,233.52,248.398,278.864,294.479,296.043,320.979,270.105,288.21,279.295,327.275,360.281,392.902,415.895,421.378,458.821,468.396,485.44,514.938,607.701,709.152,820.385,940.26,1216.736,1198.895,1341.889,1675.615,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2835.606,2674.852,3167.271,3346.107,3638.49,3909.892,4125.213,4505.629,4958.953,5461.673,6015.999,6627.982
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.346,279.344,310.92,396.518,470.092,558.291,578.577,755.094,892.969,917.87,912.524,890.815,860.854,931.877,1015.619,1042.272,1119.1,1059.055,1186.51,1319.101,1371.169,1396.3,1443.256,1550.236,1662.609,1790.541,1929.208,2079.139
Iran,116.976,123.852,153.533,191.522,197.372,220.341,254.987,338.089,380.698,463.073,709.094,371.097,61.598,78.656,97.415,140.28,192.871,224.733,250.194,335.737,447.805,403.943,161.932,193.34,230.618,276.383,326.45,430.465,498.712,509.095,598.566,722.13,487.11,494.544,532.056,471.415,477.575,507.8,343.713,252.142,209.51,307.337,403.254,421.547,416.676,356.513,375.644,416.433,454.404,482.125,511.317
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.984,21.113,21.063,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.634,168.429,190.048,230.189,236.682,182.576,210.753,288.059,270.799,278.771,265.455,273.912,288.758,306.064,325.568,345.909
Ireland,21.425,20.423,21.313,20.618,19.883,21.168,28.516,33.66,36.875,38.03,48.199,48.84,54.911,51.364,55.843,69.26,75.928,82.957,90.305,98.993,100.253,109.347,128.505,164.63,194.283,211.993,232.193,270.112,275.417,236.187,221.914,240.934,227.066,242.928,266.559,302.133,305.347,348.232,395.96,407.256,435.659,530.747,548.773,567.537,608.974,708.771,750.112,779.063,810.885,844.921,880.832
Israel,25.043,26.534,28.438,31.716,30.025,27.906,34.354,41.033,50.83,51.718,61.027,69.228,77.357,77.748,88.751,105.432,115.054,119.391,120.469,121.329,136.409,134.891,125.215,131.278,139.926,147.346,158.706,184.45,220.951,213.111,239.373,267.739,263.172,298.045,314.377,302.839,321.083,357.361,375.471,399.209,410.909,489.736,525.159,513.394,542.285,610.752,666.407,697.005,730.133,763.966,799.062
Italy,479.967,435.267,430.169,446.399,441.048,455.457,645.071,809.632,897.006,932.931,1164.328,1229.898,1305.099,1049.47,1082.455,1177.984,1315.136,1246.34,1274.381,1256.251,1150.169,1172.049,1280.841,1582.534,1811.987,1866.013,1958.667,2222.785,2417.242,2207.085,2146.687,2306.568,2099.259,2153.259,2173.815,1845.615,1886.59,1970.027,2100.387,2019.831,1905.956,2180.657,2105.723,2305.27,2372.059,2543.677,2701.544,2764.053,2833.607,2908.154,2985.05
Jamaica,2.631,2.891,3.319,2.95,2.174,2.045,2.431,2.741,3.267,3.788,4.784,4.396,4.44,5.581,5.594,6.719,7.586,8.618,9.015,9.118,9.3,9.433,9.971,9.675,10.439,11.524,12.256,13.215,14.099,12.421,13.535,14.787,15.149,14.582,14.225,14.927,14.931,15.726,16.767,17.002,15.079,15.982,18.71,21.299,21.9,23.137,24.132,25.09,25.977,26.898,27.814
Japan,1129.378,1245.221,1158.731,1270.86,1345.825,1427.02,2120.084,2580.749,3125.725,3109.455,3185.904,3648.066,3980.703,4536.941,4998.798,5545.566,4923.393,4492.449,4098.363,4635.982,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5054.069,5039.148,4263.231,4204.573,4019.382,4279.828,4463.634,4624.079,4820.609,4947.728,5119.885
Jordan,3.932,4.416,4.713,4.953,5.003,5.033,6.445,6.794,6.364,4.279,4.187,4.373,5.403,5.615,6.321,6.759,7.054,7.389,8.163,8.414,8.725,9.268,9.972,10.575,11.771,13.134,15.795,17.957,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.667,43.432,44.566,43.762,46.362,48.834,51.161,53.428,56.157,59.288,62.593,66.082,69.766,73.656
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.871,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.278,166.806,179.34,181.667,171.082,197.112,225.496,261.84,291.48,300.052,319.77,348.039,373.868,401.608,429.484
Kenya,13.449,12.667,12.196,11.279,11.703,11.646,13.832,15.163,15.721,15.586,16.219,15.315,15.084,10.479,12.546,15.905,18.064,18.3,20.63,18.594,18.206,18.697,19.03,21.391,22.79,26.307,29.668,36.708,41.058,42.347,45.406,46.555,56.407,61.703,68.395,70.37,74.816,81.965,92.211,100.328,100.922,109.875,114.733,108.206,119.307,136.014,140.871,144.676,149.171,156.809,166.081
Kiribati,0.033,0.035,0.033,0.031,0.034,0.026,0.026,0.03,0.038,0.038,0.037,0.041,0.062,0.059,0.067,0.069,0.081,0.08,0.075,0.077,0.075,0.065,0.075,0.097,0.104,0.114,0.112,0.138,0.15,0.142,0.166,0.196,0.207,0.202,0.201,0.192,0.207,0.223,0.234,0.217,0.222,0.285,0.271,0.289,0.308,0.321,0.343,0.359,0.374,0.39,0.406
"Korea, Republic of",66.517,74.287,79.912,89.621,99.75,103.764,119.966,152.241,205.479,254.236,292.064,340.863,366.912,405.772,478.988,586.301,631.194,590.07,396.803,515.427,597.802,567.655,649.747,728.497,822.583,971.54,1094.545,1220.756,1093.487,982.854,1192.722,1307.239,1335.344,1434.67,1556.252,1539.212,1578.816,1710.197,1824.251,1751.046,1744.455,1942.314,1799.363,1844.801,1875.388,1858.572,1936.617,2017.01,2099.702,2184.804,2271.152
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.217,2.509,2.73,3.39,3.71,3.828,4.019,4.868,5.202,5.03,5.348,6.34,6.167,6.735,7.076,6.296,6.681,7.178,7.882,7.9,7.728,9.418,9.375,10.47,11.2,12.672,14.097,14.91,15.768,16.701,17.706
Kuwait,no data,25.249,21.583,20.871,21.7,21.445,17.904,22.368,20.69,24.313,18.239,10.791,19.871,23.955,24.859,27.186,31.491,30.35,25.941,30.126,37.714,34.906,38.129,47.869,59.439,80.799,101.548,114.608,147.391,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.399,120.688,138.655,140.855,111.048,148.346,183.539,165.396,160.226,157.469,162.895,169.17,176.086,183.096,190.176
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.271,9.372,8.283,9.256,12.269,15.187,17.491,20.16,21.563,23.072,24.649,26.349,28.155
Lao P.D.R.,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.26,2.651,3.079,3.934,4.757,5.946,6.431,7.506,8.964,10.194,11.972,13.266,14.418,15.904,17.055,18.131,18.77,18.511,18.533,15.121,15.011,15.908,16.934,17.781,18.613,19.471,20.387,21.343
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.641,2.643,4.391,5.242,5.799,6.351,6.977,7.325,7.765,8.192,9.256,11.249,13.831,16.332,20.453,29.463,34.296,25.758,23.509,26.832,27.136,29.157,30.285,26.347,27.11,29.381,33.263,33.103,33.353,38.209,38.045,42.584,43.508,47.88,52.248,55.114,57.86,60.722,63.664
Lebanon,4.02,3.843,2.621,3.611,4.269,3.566,2.78,3.254,3.269,2.682,2.801,4.392,5.472,7.435,8.988,10.971,12.824,15.535,17.059,17.174,17.018,17.361,18.837,19.486,21.16,21.497,22.023,24.827,29.119,35.4,38.444,39.927,44.017,46.88,48.095,49.929,51.15,53.03,54.9,50.928,24.976,19.782,24.748,23.607,28.28,no data,no data,no data,no data,no data,no data
Lesotho,0.428,0.435,0.362,0.401,0.36,0.288,0.331,0.434,0.496,0.519,0.635,0.743,0.863,0.865,0.915,1.032,0.977,1.027,0.949,0.937,0.922,0.774,0.856,1.256,1.598,1.73,1.72,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.202,2.206,2.424,2.472,2.323,2.092,2.445,2.275,2.215,2.298,2.39,2.474,2.535,2.629,2.714,2.885
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.863,0.904,0.943,0.714,0.897,0.944,1.109,1.344,1.676,1.765,1.966,2.34,2.675,3.044,3.09,3.092,3.256,3.321,3.264,3.08,3.037,3.509,3.974,4.39,4.778,5.182,5.594,5.971,6.367,6.796,7.276
Libya,40.19,34.72,34.616,32.988,30.89,30.384,24.756,23.009,25.87,27.446,31.627,34.995,35.459,31.912,29.719,33.739,36.827,37.702,30.921,37.129,39.498,35.206,21.128,27.026,34.054,48.852,60.094,68.211,86.804,60.767,75.381,48.17,92.542,75.355,57.384,48.718,49.913,67.153,76.682,69.237,46.893,35.216,43.281,43.958,48.363,47.941,49.164,51.158,53.138,55.463,57.857
Liechtenstein,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.701,2.708,2.906,3.311,3.735,3.964,4.338,5.006,5.512,4.858,5.503,6.197,5.866,6.392,6.658,6.269,6.237,6.474,6.693,6.437,6.405,7.913,7.378,8.286,8.5,9.424,10.116,10.586,11.07,11.575,12.119
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.742,8.44,10.159,11.284,11.017,11.541,12.26,14.283,18.801,22.71,26.118,30.138,39.765,48.004,37.591,36.693,43.201,42.736,46.321,48.388,41.548,42.952,47.745,54.294,55.132,57.352,67.068,71.082,79.824,84.847,95.274,104.651,109.192,114.332,119.919,125.875
Luxembourg,6.434,5.549,4.557,4.473,4.385,4.544,6.611,8.211,9.301,9.903,12.628,13.683,15.328,15.714,17.487,20.571,20.464,18.428,19.263,21.089,21.24,21.388,23.633,29.66,35.049,37.693,42.912,51.594,58.838,54.408,56.26,61.685,59.814,65.204,68.822,60.078,62.2,65.689,71.118,69.88,73.612,86.444,80.865,88.815,93.252,100.642,107.758,112.169,116.867,121.716,126.829
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.86,7.372,8.247,10.643,12.16,14.874,18.44,21.027,21.588,28.242,36.844,43.19,51.536,54.903,45.048,45.071,50.384,55.191,55.082,25.344,30.969,24.998,45.802,50.182,52.379,54.935,57.762,60.623,63.729,66.877
Madagascar,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.76,14.105,13.051,14.355,15.326,15.87,17.421,19.377,21.091,22.957,25.38,28.045,30.993
Malawi,3.022,3.022,2.881,2.986,2.949,2.762,2.883,2.834,3.258,3.715,4.222,5.38,4.394,5.056,2.93,3.412,5.569,6.504,4.275,4.336,4.257,4.178,4.922,4.521,4.895,5.148,5.63,6.24,7.492,8.723,9.796,11.241,8.421,7.648,8.526,9.014,7.733,8.943,9.882,11.031,11.847,12.475,12.531,13.439,11.797,14.975,17.855,20.945,24.176,27.551,31.325
Malaysia,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.245,53.519,64.427,72.857,81.156,96.606,109.846,109.116,78.639,86.203,102.149,101.054,109.833,120.025,135.869,150.345,170.41,202.732,241.946,211.847,258.64,302.184,318.909,327.869,342.868,301.355,301.256,319.109,358.783,365.178,337.456,373.785,407.83,399.949,422.227,470.572,505.364,537.582,572.617,608.846,646.456
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.118,4.398,4.809,5.398,5.716,3.706,5.24,6.168,6.611,7.052,7.676,8.221,8.729,9.26,9.824,10.426
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.871,10.249,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.281,17.491,19.32,19.319,21.184,22.789,25.591,28.478,30.479,32.617,34.931,37.414
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.353,3.419,3.461,3.667,3.827,4.042,4.072,4.462,5.425,6.109,6.392,6.783,7.972,9.171,8.76,9.104,9.788,9.616,10.797,11.891,11.342,12.022,14.156,16.161,16.34,16.392,19.753,18.943,22.617,24.964,27.745,30.437,32.211,34.114,36.158,38.339
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.11,0.112,0.113,0.115,0.123,0.132,0.131,0.133,0.138,0.143,0.15,0.147,0.151,0.161,0.172,0.181,0.186,0.186,0.184,0.202,0.214,0.22,0.233,0.242,0.259,0.253,0.259,0.281,0.302,0.332,0.357,0.376,0.392,0.408
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.826,7.472,7.894,8.464,9.126,9.564,10.724,11.003,11.953,12.854,13.463,14.325,15.135,15.498
Mauritius,1.242,1.179,1.131,1.198,1.108,1.122,1.515,1.919,2.225,2.286,2.743,3.017,3.398,3.502,3.887,4.439,4.59,4.31,4.354,4.597,4.935,4.882,5.123,6.155,6.962,6.867,7.123,8.26,10.125,9.252,10.138,11.673,11.826,12.293,13.074,12.007,12.594,13.714,14.736,14.436,11.408,11.484,12.908,14.101,14.986,15.73,16.756,17.848,18.997,20.196,21.447
Mexico,242.153,311.012,225.706,184.01,217.001,230.272,159.434,174.84,213.893,260.663,307.613,368.772,427.661,530.226,553.618,380.182,432.158,523.45,557.485,631.24,742.061,796.055,810.666,765.55,819.459,917.572,1020.265,1102.356,1161.553,943.437,1105.424,1229.014,1255.11,1327.436,1364.508,1213.294,1112.233,1190.721,1256.3,1304.106,1121.065,1316.569,1466.935,1798.318,1856.366,1862.74,2030.999,2125.974,2226.997,2332.093,2442.324
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.222,0.221,0.207,0.219,0.22,0.233,0.24,0.24,0.243,0.236,0.247,0.25,0.253,0.261,0.277,0.292,0.308,0.324,0.314,0.316,0.312,0.327,0.361,0.394,0.395,0.373,0.392,0.416,0.444,0.471,0.495,0.519,0.535,0.551,0.567,0.584
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.864,1.11,1.158,1.441,1.694,1.928,1.697,1.172,1.315,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,6.977,8.417,8.708,9.496,9.402,7.778,7.981,9.515,11.252,11.737,11.53,13.694,14.524,16.711,18.201,19.62,21.024,22.956,25.115,27.477,30.003
Mongolia,2.728,2.854,2.963,3.071,2.837,3.294,3.636,4.086,4.104,4.275,2.678,2.821,1.566,0.771,0.926,1.452,1.348,1.181,1.125,1.057,1.137,1.268,1.397,1.595,1.992,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.62,11.154,11.481,13.207,14.206,13.313,15.286,17.146,20.315,23.795,25.105,26.52,27.972,29.452,30.918,32.498
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.964,1.148,1.267,1.679,2.07,2.257,2.72,3.683,4.559,4.155,4.14,4.506,4.074,4.422,4.581,4.011,4.356,4.802,5.436,5.484,4.73,5.827,6.265,7.646,8.272,9.353,10.229,10.753,11.283,11.857,12.451
