"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.926,8.295,8.96,9.148,11.464,13.472,16.17,18.6,21.937,28.193,19.52,22.522,25.789,27.147,28.561,29.474,26.841,23.624,23.831,23.883,23.478,20.889,24.223,28.341,25.037,25.634,26.002,26.758,27.813,28.979,30.048,30.863
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,14.133,14.897,17.809,16.724,17.886,20.616,22.324,21.762,22.87,24.066,22.524,23.146,24.274,28.797,32.71,33.851,36.059,40.819,47.039,45.593,46.21,48.122,47.311,48.681,50.273,45.779,44.36,42.167,42.687,41.905,42.494,46.813,44.596,48.541,52.925,59.069,60.434,60.467,61.552,62.295,63.864
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.886,4.997,4.232,5.473,2.217,2.498,2.667,3.594,4.68,6.461,8.107,10.645,13.228,16.003,19.935,24.192,20.049,18.836,21.321,27.776,35.164,39.198,43.524,35.8,36.18,37.926,40.762,44.974,45.455,49.477,56.677,62.814,68.675,72.119,76.897,83.632,91.767,100.714,110.589
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.033,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.053,0.062,0.054,0.051,0.056,0.058,0.061,0.064,0.067,0.07,0.073
"Türkiye, Republic of",96.629,97.898,88.948,84.996,82.67,92.858,102.371,118.966,125.075,147.777,207.578,208.473,219.25,248.657,179.42,233.645,250.571,261.946,277.693,254.3,273.57,203.001,238.674,317.342,408.309,506.794,554.902,686.909,787.897,656.134,783.025,843.326,882.437,962.457,943.337,868.204,870.339,863.906,807.318,775.223,730.345,827.673,924.752,1153.295,1358.251,1565.471,1576.11,1640.862,1760.433,1866.297,1961.776
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,34.754,30.122,30.232,31.589,34.126,37.895,37.888,42.808,47.263,52.003,56.232,64.993,72.456,79.609,86.889,95.966,106.655
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.747,85.996,107.767,143.26,181.313,117.079,136.011,163.059,175.781,183.31,133.392,90.922,93.349,112.064,130.905,153.904,156.566,199.835,161.987,181.228,190.687,209.713,224.259,238.531,254.463,271.235,288.846
United Arab Emirates,41.725,46.461,43.205,39.588,39.245,38.519,30.526,33.519,34.069,39.325,50.682,49.3,51.952,52.144,57.395,63.432,72.853,77.167,75.304,84.42,102.987,103.312,109.816,124.346,147.812,180.616,222.117,257.883,315.464,253.547,307.736,368.881,392.793,409.633,424.936,381.973,381.717,403.365,440.56,433.926,357.162,422.441,511.403,522.622,552.325,569.097,601.163,639.415,680.124,722.479,764.85
United Kingdom,604.697,588.342,559.326,532.925,504.939,537.2,655.035,814.102,989.706,1007.623,1197.021,1248.625,1289.587,1155.162,1241.72,1344.504,1421.099,1561.239,1653.852,1688.248,1668.69,1650.252,1788.549,2056.294,2422.619,2546.038,2712.257,3091.695,2960.39,2421.476,2487.924,2664.719,2707.571,2786.665,3066.304,2928.558,2699.086,2682.384,2875.024,2853.074,2698.705,3144.079,3125.404,3371.118,3644.636,3958.78,4225.639,4441.871,4673.359,4928.634,5199.779
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16880.675,17608.125,18295,18804.9,19612.1,20656.525,21539.975,21375.275,23725.65,26054.6,27811.5,29298.025,30615.743,31821.293,33019.978,34258.401,35513.831,36814.251
Uruguay,12.217,13.636,11.147,6.119,5.819,5.686,7.059,8.832,9.137,9.63,11.204,13.502,15.515,18.064,21.04,23.267,24.73,26.155,27.704,26.178,24.892,22.802,14.863,13.159,14.959,18.986,21.416,25.603,33.151,34.565,43.967,52.354,55.938,62.857,62.546,58.218,57.58,65.068,65.37,62.229,53.557,60.742,70.6,77.997,80.961,84.986,90.64,94.664,99.564,104.523,109.839
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,69.703,58.696,67.294,66.443,77.34,90.125,102.634,114.962,137.48,159.199,178.042,197.321,217.902,240.767
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.775,0.774,0.798,0.88,0.884,0.93,1.008,0.921,1.035,1.125,1.09,1.119,1.176,1.235,1.292,1.351,1.413
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,316.482,372.592,258.931,214.69,125.449,112.915,115.883,102.021,73.014,42.838,56.615,89.013,102.377,119.803,82.767,79.916,no data,no data,no data,no data
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,370.076,411.068,433.008,459.472,484.726,511.059,545.213,583.731,624.103,666.786
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.515,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.109,19.166,17.848,13.711,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,20.22,19.394,23.534,19.412,19.101,17.352,17.24,18.723,21.707,23.658,25.778
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.138,22.096,29.164,27.578,26.326,29.369,33.945,39.699,43.699,46.856,50.428
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.988,13.962,11.515,11.184,11.76,12.209,14.949,15.345,17.876,17.388,16.755,16.613,15.861,14.145,13.985,13.365,12.029,11.502,9.91,14.282,17.265,20.134,24.173,26.756,28.248,28.123,29.257,31.018,53.914,39.776,39.962,52.413,48.57,44.372,49.154,53.31,55.434,57.457,59.465,61.518,63.688
Africa (Region),474.307,483.732,489.549,472.469,413.88,407.469,446.72,500.31,530.692,570.199,694.811,642.797,639.389,641.119,637.903,771.391,871.934,908.641,926.809,722.023,745.226,725.542,749.248,898.085,1077.959,1270.22,1477.682,1723.809,2027.191,1927.136,2259.158,2526.611,2708.189,2826.887,2952.782,2677.32,2516.945,2526.401,2708.625,2811.497,2674.556,2965.726,3191.052,3018.756,2878.286,3057.762,3302.958,3520.162,3748.539,4015.843,4305.936
Asia and Pacific,2364.467,2528.727,2460.516,2614.804,2772.38,2825.086,3600.712,4274.159,5098.085,5301.308,5527.162,6096.493,6681.475,7522.805,8163.034,9278.362,9062.962,8719.208,7887.819,8760.631,9383.809,8759.608,8997.375,10045.619,11333.003,12259.815,13131.353,15015.558,17003.892,17469.33,20405.537,23512.46,24987.945,25396.083,26347.817,26154.784,27256.881,29229.181,31406.661,32147.685,32235.599,37005.948,36975.745,37628.272,38824.053,40601.732,43121.329,45822.94,48795.966,51744.964,54975.514
Australia and New Zealand,185.477,211.883,210.287,201.963,219.514,196.924,208.906,250.079,316.595,352.534,369.851,367.877,359.521,354.111,406.293,441.468,493.764,495.271,438.315,470.866,454.406,431.242,487.577,623.564,760.344,849.768,893.186,1084.953,1192.171,1122.841,1400.357,1682.67,1745.5,1707.187,1657.243,1410.369,1448.726,1584.925,1626.906,1597.284,1573.205,1905.623,1970.66,1996.1,2053.857,2092.418,2228.781,2327.604,2434.527,2543.354,2662.721
Caribbean,18.264,19.975,22.051,21.968,21.964,22.411,21.4,20.33,20.758,22.373,22.756,22.638,22.406,23.154,26.262,32.08,34.666,37.477,40.348,42.985,45.192,45.592,47.302,48.874,54.184,61.334,66.951,75.719,85.34,75.107,80.457,87.176,91.687,94.267,96.293,94.814,89.604,93.337,97.303,96.914,85.112,101.838,119.475,123.636,141.444,150.761,157.071,165.879,175.522,186.52,192.817
Central America,35.211,35.23,35.789,37.587,44.792,38.872,38.318,37.985,36.257,40.984,37.46,46.36,52.377,57.178,62.435,69.57,74.438,81.213,87.954,89.153,94.406,99.757,105.192,103.107,110.298,132.201,144.818,164.856,185.666,185.622,206.577,231.918,250.117,265.314,282.934,302.93,319.733,337.687,351.251,365.061,336.786,385.258,434.099,481.492,511.851,540.363,573.507,611.769,652.741,696.049,742.377
Central Asia and the Caucasus,96.629,97.898,88.948,84.996,82.67,92.858,102.371,118.966,125.075,147.777,207.578,208.473,229.997,269.19,209.401,276.231,302.071,317.495,334.085,307.78,326.424,259.682,302.81,393.731,506.694,633.526,725.103,912.703,1071.491,917.97,1102.521,1246.122,1324.807,1450.294,1431.26,1287.42,1225.102,1241.837,1197.961,1185.145,1121.225,1271.623,1457.84,1752.614,2017.184,2253.966,2321.763,2451.947,2637.155,2813.472,2983.74
East Asia,1573.319,1691.601,1608.572,1753.621,1857.826,1944.104,2664.428,3221.043,3930.852,4048.446,4121.555,4683.796,5171.88,5922.096,6437.068,7294.684,6876.917,6532.22,5980.623,6723.165,7289.96,6763.661,6794.383,7409.35,8212.657,8686.66,9076.872,10035.442,11494.283,12057.988,13770.89,15908.146,17061.16,17231.003,17993.677,18146.89,18905.591,20088.772,21961.723,22432.244,22936.996,26333.47,25511.859,25478.419,25872.19,26874.702,28495.619,30170.447,31943.787,33610.422,35467.296
Eastern Europe ,165.776,175.894,189.8,192.063,184.894,182.965,188.838,193.037,228.377,222.448,167.498,149.06,291.925,454.41,600.252,773.611,890.972,938.767,818.856,705.623,767.341,868.611,981.642,1197.932,1525.955,1866.346,2263.308,2926.613,3658.464,2861.43,3239.104,3835.927,3892.336,4073.696,3835.28,2891.756,2837.085,3313.013,3620.623,3719.764,3505.997,4166.551,4634.658,4762.417,5087.576,5795.909,6015.555,6260.122,6526.375,6811.878,7111.121
Europe,4006.99,3607.416,3492.751,3403.611,3270.664,3384.949,4555.984,5597.093,6266.829,6366.263,7795.202,8263.215,9115.677,8472.536,9111.472,10538.593,10840.913,10295.398,10467.376,10375.318,9764.582,9931.667,10857.82,13184.854,15320.685,16241.331,17559.727,20472.006,22513.775,19790.264,20113.715,22159.077,21202.723,22099.145,22459.226,19290.748,19289.894,20528.095,22141.723,21865.89,21161.906,24246.563,24308.597,25924.381,27203.017,29676.875,31480.589,32638.6,33858.65,35140.115,36469.568
Middle East (Region),386.896,451.749,444.945,459.883,457.577,463.596,476.446,581.246,619.141,710.573,1013.287,692.64,416.111,440.243,492.128,559.603,650.894,703.237,702.264,824.615,1049.803,993.049,763.979,855.945,1022.522,1245.575,1466.913,1749.605,2181.776,1937.158,2305.516,2767.732,2716.606,2838.596,2931.777,2559.843,2546.051,2737.355,2865.775,2791.096,2399.156,2972.817,3658.792,3589.462,3678.29,3723.087,3921.103,4150.468,4386.378,4616.721,4856.089
North Africa,143.043,137.188,142.105,148.661,153.868,171.096,177.022,203.441,213.624,239.819,241.68,183.912,187.334,187.729,186.731,205.495,227.924,233.893,240.52,254.299,268.245,262.741,242.89,270.813,306.06,351.346,406.423,474.108,585.135,555.528,630.281,672.055,767.824,772.539,787.365,742.524,738.053,664.69,704.372,751.318,758.04,833.202,920.006,880.47,914.138,923.899,990.21,1050.202,1119.369,1193.8,1272.529
North America,3389.979,3841.238,3900.909,4177.174,4630.542,4955.745,5140.043,5487.108,5985.876,6497.755,6897.431,7171.698,7576.992,8004.758,8460.472,8668.52,9181.222,9804.197,10308.4,10998.673,11799.344,12186.616,12572.461,13193.433,14143.43,15214.191,16242.497,17135.025,17577.907,16894.382,17870.126,18722.417,19438.988,20157.157,20880.829,21168.178,21549.466,22555.533,23739.083,24692.932,24255.156,27171.028,29825.79,31901.532,33523.869,34888.628,36402.321,37819.383,39275.927,40759.717,42312.945
Pacific Islands ,5.925,5.89,5.639,5.535,5.337,4.991,5.437,5.707,7.229,7.165,6.952,7.91,9.035,10.063,11.104,10.519,11.244,10.921,8.646,8.468,8.233,7.516,7.538,9.306,10.749,12.325,13.609,15.376,17.947,17.124,20.364,25.221,28.926,29.293,31.617,29.941,29.338,32.014,33.784,34.268,32.213,34.381,40.907,40.838,42.373,44.229,45.678,47.581,49.361,51.193,53.235
South America,581.096,583.981,494.458,463.468,454.181,500.145,564.531,599.011,667.453,731.017,812.063,833.763,891.88,963.205,1146.486,1433.863,1538.986,1636.37,1615.772,1303.779,1378.406,1266.259,996.146,1073.371,1296.606,1656.004,2014.188,2505.398,3044.928,2933.417,3763.635,4404.22,4451.44,4433.449,4318.072,3523.272,3422.806,3877.349,3656.419,3479.515,2860.291,3325.646,3842.504,4203.833,4277.215,4446.822,4541.214,4787.713,5041.912,5316.848,5607.252
South Asia,257.208,273.45,283.385,298.216,300.023,323.764,341.535,377.641,405.016,412.495,442.076,402.844,427.363,424.648,478.2,532.32,574.63,600.928,608.772,642.835,657.303,671.957,706.543,823.201,953.157,1085.315,1234.373,1549.237,1576.981,1719.753,2091.434,2301.645,2334.426,2399.448,2628.508,2752.933,2992.83,3415.077,3516.116,3639.45,3473.194,4065.414,4305.959,4560.884,4883.789,5166.959,5608.049,6121.907,6713.454,7370.835,8095.933
Southeast Asia,245.909,248.004,263.685,270.473,307.009,262.444,278.034,300.721,313.319,332.892,379.15,425.592,483.68,542.698,620.968,723.139,804.336,762.373,517.379,607.517,647.483,625.55,698.523,786.467,889.402,992.22,1188.21,1417.849,1651.019,1633.654,2019.97,2348.655,2493.126,2578.858,2605.512,2527.232,2655.294,2866.555,3070.171,3259.293,3098.765,3395.437,3688.519,3799.417,3954.658,4169.457,4421.439,4703.453,5017.683,5355.688,5712.589
Sub-Saharan Africa (Region) ,331.264,346.545,347.444,323.808,260.013,236.373,269.698,296.869,317.068,330.38,453.131,458.885,452.055,453.389,451.171,565.896,644.01,674.748,686.29,467.724,476.98,462.801,506.358,627.271,771.899,918.874,1071.259,1249.7,1442.056,1371.608,1628.877,1854.556,1940.365,2054.348,2165.417,1934.796,1778.892,1861.71,2004.253,2060.179,1916.516,2132.524,2271.046,2138.286,1964.147,2133.863,2312.748,2469.96,2629.17,2822.043,3033.407
Western Europe,3841.214,3431.522,3302.95,3211.548,3085.77,3201.984,4367.146,5404.056,6038.452,6143.815,7627.704,8114.155,8823.752,8018.126,8511.22,9764.982,9949.941,9356.631,9648.521,9669.695,8997.241,9063.057,9876.178,11986.922,13794.73,14374.985,15296.418,17545.393,18855.312,16928.834,16874.611,18323.15,17310.387,18025.449,18623.945,16398.992,16452.809,17215.082,18521.101,18146.126,17655.909,20080.012,19673.94,21161.964,22115.441,23880.966,25465.034,26378.478,27332.275,28328.237,29358.447
Western Hemisphere (Region),4024.549,4480.424,4453.207,4700.197,5151.479,5517.174,5764.293,6144.435,6710.345,7292.129,7769.709,8074.459,8543.655,9048.294,9695.654,10204.034,10829.311,11559.257,12052.474,12434.59,13317.347,13598.225,13721.1,14418.785,15604.517,17063.73,18468.455,19880.999,20893.841,20088.529,21920.795,23445.73,24232.232,24950.187,25578.129,25089.194,25381.609,26863.906,27844.057,28634.423,27537.346,30983.77,34221.867,36710.493,38454.379,40026.574,41674.113,43384.744,45146.102,46959.135,48855.391
ASEAN-5,208.639,229.269,239.197,233.223,242.907,234.883,228.952,241.508,278.672,318.986,363.369,406.573,460.837,515.3,588.415,682.569,758.546,714.207,467.858,553.957,587.767,564.573,633.787,712.337,798.144,885.81,1064.967,1272.689,1466.244,1442.416,1803.016,2079.545,2191.351,2252.206,2253.369,2177.95,2284.773,2463.239,2631.775,2781.24,2607.89,2897.168,3135.948,3229.52,3354.049,3540.744,3757.257,3993.334,4257.097,4542.097,4847.495
Advanced economies,8478.682,8614.064,8553.227,8900.939,9308.571,9800.961,11969.117,13917.716,15721.796,16401.781,18408.809,19664.68,21158.385,21326.862,22913.12,25382.421,25563.197,25064.424,25148.004,26493.434,26960.202,26687.422,27845.422,31241.269,34664.257,36491.101,38380.458,41931.843,44299.427,41800.254,43660.796,46894.568,46709.215,47175.962,48289.23,45711.404,46951.019,49016.624,51868.982,52406.467,51561.468,57609.524,58945.923,62310.258,64901.125,68598.619,72202.717,74948.234,77810.768,80670.39,83750.239
Emerging and Developing Asia,764.622,759.366,775,818.678,859.862,836.022,859.507,940.661,1050.095,1119.334,1124.047,1135.491,1285.69,1455.524,1519.165,1818.577,2060.96,2141.634,1984.655,2179.051,2339.509,2471.621,2710.464,3091.907,3587.588,4145.507,4927.03,6234.476,7509.737,8170.758,9842.144,11801.644,13007.367,14237.569,15393.876,16021.916,16504.323,18146.542,20012.037,20823.483,21072.318,24917.373,25477.603,25850.993,26736.872,27821.017,29722.432,31841.006,34126.063,36463.538,38968.105
Emerging and Developing Europe,262.405,273.792,278.749,277.06,267.565,275.823,291.209,312.004,353.451,370.225,375.076,357.533,489.681,660.732,723.202,868.447,989.259,1051.607,936.48,803.072,892.827,914.125,1034.668,1279.747,1650.091,2053.175,2451.987,3152.391,3886.914,3031.033,3538.488,4147.064,4278.888,4522.078,4258.153,3303.027,3234.087,3657.703,3842.969,3904.738,3651.552,4318.889,4872.388,5129.591,5631.194,6463.042,6614.092,6880.953,7222.599,7569.109,7917.218
Emerging market and developing economies,2778.527,2937.985,2787.74,2750.025,2757.409,2797.313,2875.038,3179.527,3503.295,3838.691,4391.36,4104.924,4237.923,4798.135,5187.071,5969.784,6693.037,7121.635,6889.07,6624.077,7303.295,7330.574,7254.753,8174.204,9709.372,11606.182,13743.203,16934.094,20347.953,19439.467,23378.234,27566.033,29193.88,30999.931,32049.806,30119.563,30100.476,32935.147,35169.888,35916.85,34489.844,40616.296,43455.83,44629.53,46211.735,48566.775,51381.777,54657.923,58219.064,61905.907,65817.288
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6116.23,6745.314,6130.922,6476.245,7643.425,7760.35,6969.933,7134.182,7152.338,6524.117,6622.737,7227.109,8906.314,10212.685,10605.219,11277.463,12994.497,14294.139,13070.748,12797.063,13806.913,12793.355,13357.212,13684.874,11830.508,12119.951,12837.964,13879.034,13592.239,13256.908,14934.587,14498.999,15831.829,16447.395,17748.965,18914.469,19525.881,20155.039,20806.019,21463.176
European Union,3210.009,2837.577,2750.34,2689.43,2589.084,2666.019,3656.582,4481.547,4951.189,5039.392,6203.754,6615.434,7297.637,6670.646,7080.435,8288.277,8422.22,7732.929,7967.913,7936.622,7283.953,7397.938,8085.036,9941.997,11430.644,11947.116,12756.244,14781.99,16361.341,14831.612,14652.562,15872.802,14740.088,15398.774,15767.595,13657.13,13984.467,14867.435,16100.805,15812.179,15495.36,17507.089,17040.068,18644.233,19459.717,21096.78,22515.043,23289.65,24091.438,24928.813,25781.923
Latin America and the Caribbean,876.724,950.198,778.004,707.033,737.938,791.7,783.684,832.167,938.362,1055.037,1179.891,1271.533,1394.324,1573.762,1788.8,1915.695,2080.247,2278.51,2301.559,2067.157,2260.064,2207.663,1959.305,1990.902,2280.547,2767.11,3246.224,3848.329,4477.488,4137.584,5156.093,5952.327,6048.355,6120.467,6061.807,5134.31,4944.377,5499.095,5361.274,5245.597,4403.254,5129.311,5863.013,6607.279,6786.876,7000.686,7302.791,7691.336,8097.172,8531.51,8984.77
Major advanced economies (G7),6899.738,7116.547,7084.008,7476.475,7867.149,8339.916,10092.714,11599.296,13042.348,13538.536,14971.837,16042.961,17228.793,17575.068,18798.778,20505.265,20470.046,20205.15,20473.245,21594.536,22112.21,21854.685,22533.722,24879.158,27331.248,28544.573,29771.997,31977.972,33541.289,31944.526,33178.32,35290.292,35444.971,35502.72,36378.856,34938.79,35927.787,37196.592,39238.227,39958.027,39273.741,43438.469,44740.682,47490.417,49422.823,52056.759,54519.693,56549.363,58685.95,60808.626,63052.36
Middle East and Central Asia,552.608,614.614,613.292,629.933,640.023,662.941,678.341,809.79,853.87,980.568,1263.889,886.715,622.109,662.475,713.329,810.654,929.764,988.155,993.76,1120.533,1349.609,1292.638,1064.711,1208.664,1449.191,1760.63,2097.056,2514.157,3103.111,2789.448,3285.528,3885.412,3976.476,4127.739,4240.115,3798.655,3712.704,3828.591,3993.332,3925.32,3493.05,4165.859,5018.408,4955.005,5137.124,5200.632,5487.044,5839.627,6214.704,6593.704,6991.414
Other advanced economies,776.001,791.714,786.892,785.593,823.796,821.549,1002.058,1234.392,1456.626,1585.011,1825.711,1940.547,2070.849,2046.415,2298.959,2712.056,2892.308,2801.615,2525.261,2708.178,2802.853,2718.927,2958.267,3407.019,3892.579,4296.55,4655.484,5324.472,5618.597,5165.498,5952.212,6797.219,6853.921,7092.19,7226.396,6655.363,6795.426,7304.598,7693.177,7560.419,7520.808,8743.748,8810.927,8914.534,9243.702,9707.013,10351.847,10791.587,11245.252,11696.641,12236.588
Sub-Saharan Africa,322.168,340.015,342.696,317.323,252.021,230.826,262.298,284.904,307.517,313.527,448.457,453.653,446.119,445.641,442.575,556.41,632.806,661.729,672.616,454.264,461.286,444.527,485.606,602.984,741.955,879.76,1020.907,1184.741,1370.703,1310.645,1555.981,1779.586,1882.795,1992.08,2095.855,1861.656,1704.985,1803.216,1960.277,2017.713,1869.671,2084.864,2224.418,2086.662,1919.669,2081.399,2255.418,2405.001,2558.525,2748.046,2955.782
World,11257.209,11552.049,11340.968,11650.964,12065.98,12598.273,14844.155,17097.243,19225.091,20240.472,22800.17,23769.604,25396.308,26124.997,28100.192,31352.205,32256.234,32186.059,32037.075,33117.511,34263.497,34017.996,35100.176,39415.473,44373.63,48097.282,52123.661,58865.937,64647.38,61239.721,67039.03,74460.601,75903.095,78175.893,80339.036,75830.968,77051.495,81951.771,87038.871,88323.317,86051.313,98225.82,102401.753,106939.787,111112.86,117165.394,123584.494,129606.157,136029.832,142576.297,149567.527